direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
1,0.1786154806613922,0.05052937364602541,0.00771621847525239,32,2.118235268907861,0.6963711539102683,0.3317846435382395,16000,16000,19859,19868,1,Halvorsen
1,0.4082120656967163,0.10959615605101128,0.018643870949745178,64,2.118235268907861,0.6963711539102683,0.663569287076479,16000,16000,19859,19868,1,Halvorsen
1,0.6575402617454529,0.2239250648052183,0.06157389655709267,128,2.118235268907861,0.6963711539102683,1.327138574152958,16000,16000,19859,19868,1,Halvorsen
1,1.028483271598816,0.5517138981147672,0.28465306758880615,256,2.118235268907861,0.6963711539102683,2.654277148305916,16000,16000,19859,19868,1,Halvorsen
1,1.0020995140075684,1.1194541424568323,1.003103256225586,512,2.118235268907861,0.6963711539102683,5.308554296611832,16000,16000,19859,19868,1,Halvorsen
4,0.034717775881290436,0.020317635239111887,0.00037696296931244433,1,2.118235268907861,0.6963711539102683,0.010368270110569984,64000,16000,19859,19868,1,Halvorsen
4,0.02918378636240959,0.02065703474962441,0.0007315243710763752,2,2.118235268907861,0.6963711539102683,0.02073654022113997,64000,16000,19859,19868,1,Halvorsen
4,0.03702722117304802,0.02182877509065727,0.001366320764645934,4,2.118235268907861,0.6963711539102683,0.04147308044227994,64000,16000,19859,19868,1,Halvorsen
4,0.05089418590068817,0.024823905545841178,0.002517783548682928,8,2.118235268907861,0.6963711539102683,0.08294616088455987,64000,16000,19859,19868,1,Halvorsen
4,0.07100599259138107,0.031777709229508594,0.00450501125305891,16,2.118235268907861,0.6963711539102683,0.16589232176911975,64000,16000,19859,19868,1,Halvorsen
4,0.12821151316165924,0.05052937364602541,0.00771621847525239,32,2.118235268907861,0.6963711539102683,0.3317846435382395,64000,16000,19859,19868,1,Halvorsen
4,0.3141918182373047,0.10959615605101128,0.018643870949745178,64,2.118235268907861,0.6963711539102683,0.663569287076479,64000,16000,19859,19868,1,Halvorsen
4,0.5812510848045349,0.2239250648052183,0.06157389655709267,128,2.118235268907861,0.6963711539102683,1.327138574152958,64000,16000,19859,19868,1,Halvorsen
4,0.9505090713500977,0.5517138981147672,0.28465306758880615,256,2.118235268907861,0.6963711539102683,2.654277148305916,64000,16000,19859,19868,1,Halvorsen
4,1.0074973106384277,1.1194541424568323,1.003103256225586,512,2.118235268907861,0.6963711539102683,5.308554296611832,64000,16000,19859,19868,1,Halvorsen
1,0.04889294505119324,0.020317635239111887,0.0004199897521175444,1,2.118235268907861,0.6963711539102683,0.010368270110569984,16000,16000,19859,19868,2,Halvorsen
