budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
1600,StandardMap,0.242937797665596,8.0,1.395969304356766,1586,0.32541783869369917,4,13.61
3200,StandardMap,0.2115755215883255,8.0,1.395969304356766,3235,0.31297988747673927,0,14.51
3200,StandardMap,0.18685129714012147,8.0,1.395969304356766,3235,0.29337579621928206,1,14.25
3200,StandardMap,0.21718753612041472,8.0,1.395969304356766,3235,0.3138807175966242,2,14.52
3200,StandardMap,0.19500778770446778,8.0,1.395969304356766,3235,0.3005767264086999,3,13.97
3200,StandardMap,0.20075788760185242,8.0,1.395969304356766,3235,0.3054609409914986,4,14.4
6400,StandardMap,0.15988293707370757,8.0,1.395969304356766,6386,0.2832016746776265,0,15.9
6400,StandardMap,0.16441544914245607,8.0,1.395969304356766,6386,0.28319086625774537,1,15.81
6400,StandardMap,0.15122989231348039,8.0,1.395969304356766,6386,0.2756696950248144,2,15.89
6400,StandardMap,0.15395923948287965,8.0,1.395969304356766,6386,0.2752527913218131,3,16.52
6400,StandardMap,0.168021608710289,8.0,1.395969304356766,6386,0.2889693243058499,4,15.94
12800,StandardMap,0.14041127109527587,8.0,1.395969304356766,12755,0.2696829340256452,0,18.67
12800,StandardMap,0.13724541306495666,8.0,1.395969304356766,12755,0.27061016331694165,1,18.44
12800,StandardMap,0.1354193490743637,8.0,1.395969304356766,12755,0.2664374475702749,2,18.81
12800,StandardMap,0.1395297451019287,8.0,1.395969304356766,12755,0.2732081080528513,3,18.93
12800,StandardMap,0.1357006003856659,8.0,1.395969304356766,12755,0.2668948171564618,4,18.79
25600,StandardMap,0.11613011199235916,8.0,1.395969304356766,25586,0.2524970559190397,0,22.61
25600,StandardMap,0.11838087737560272,8.0,1.395969304356766,25586,0.25518661821731314,1,23.15
25600,StandardMap,0.12246701639890671,8.0,1.395969304356766,25586,0.25757181050677747,2,23.06
25600,StandardMap,0.11809290313720704,8.0,1.395969304356766,25586,0.2548026828226041,3,23.71
25600,StandardMap,0.11841168016195297,8.0,1.395969304356766,25586,0.25641156079204624,4,22.77
51200,StandardMap,0.10323903614282608,8.0,1.395969304356766,51062,0.2434434013991654,0,30.19
51200,StandardMap,0.1027537282705307,8.0,1.395969304356766,51062,0.2449392376611632,1,31.55
51200,StandardMap,0.11379394161701202,8.0,1.395969304356766,51062,0.25329859572468405,2,30.55
51200,StandardMap,0.10349429428577422,8.0,1.395969304356766,51062,0.24814826978626983,3,31.88
51200,StandardMap,0.11087372720241546,8.0,1.395969304356766,51062,0.25580870672107314,4,31.77
200,HenonMap,5.738239211495966e-05,1.06,nan,189,0.003902790919581681,0,16.55
200,HenonMap,4.440166824497282e-05,1.06,nan,189,0.0034334244139375314,1,17.32
200,HenonMap,6.381698418408632e-05,1.06,nan,189,0.004115380755910074,2,16.23
200,HenonMap,4.2887162388069555e-05,1.06,nan,189,0.0033740392136759286,3,17.53
200,HenonMap,4.27660564891994e-05,1.06,nan,189,0.0033693788798869833,4,12.52
400,HenonMap,1.1413720407290384e-05,1.06,nan,393,0.0017406332312042466,0,12.35
400,HenonMap,2.4748854324570856e-05,1.06,nan,393,0.0025634816898739508,1,12.62
400,HenonMap,3.1086995484656655e-05,1.06,nan,393,0.002871808625087834,2,12.52
400,HenonMap,1.454567804466933e-05,1.06,nan,393,0.0019661464283061638,3,12.88
400,HenonMap,1.9987294566817583e-05,1.06,nan,393,0.0023044156243895416,4,12.26
800,HenonMap,7.274339637660887e-06,1.06,nan,777,0.0013900666249025714,0,12.81
800,HenonMap,2.337447123863967e-06,1.06,nan,777,0.0007882377098661003,1,12.96
800,HenonMap,7.630242478626314e-06,1.06,nan,777,0.0014232995630012817,2,12.76
800,HenonMap,6.551319700520253e-06,1.06,nan,777,0.0013194922586815597,3,13.13
800,HenonMap,5.651393847074359e-06,1.06,nan,777,0.0012251551545723652,4,13.3
1600,HenonMap,3.7103973245393716e-06,1.06,nan,1593,0.0009938919660770326,0,13.14
